global_signal	white_matter	csf	trans_x	rot_x	trans_y	rot_y	trans_z	rot_z	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	t_comp_cor_00	t_comp_cor_01	aroma_motion_00	aroma_motion_01	aroma_motion_02	aroma_motion_03
0.4999624503258351	0.8787830486626816	1.8854874498654435	-0.047554232305134614	-0.4612814369964536	0.24570906621190147	-0.08980996378314737	0.16624991126937075	-0.2749398592109227	0.42680171151293345	-0.4890421880623103	0.4792651539756574	0.31661661496162025	0.2412564028517906	1.3671192610975695	0.7382197356847404	0.9498317840756323	0.21730364709149205
0.08629769621866928	1.1797420980628548	0.9794941479337506	-0.12967673902598148	-0.6407581811384243	0.17760324442647174	-0.14145441753107624	0.195411490354798	-0.19478202956393587	1.0882620919196488	-0.35000729621286913	0.07905250884014316	-0.21685211738093124	0.16118225228868616	1.2314463454702482	0.9017105691262685	1.000593719537411	-0.02965816451935663
-0.342167047119567	0.5986744573910217	0.5470495680831287	-0.327386178616434	-0.7312047273625571	0.17026164439501845	-0.2606584033869179	-0.007578596803465731	0.15025981044593556	1.2851491385492004	0.055357799005533455	-0.0027450849428523726	-0.3046919549375052	0.24340247633105658	0.8699157076550148	1.0425790925674794	1.0388390262218223	-0.4715072400997219
-0.7223064314415282	-0.9832877412653792	-0.0953777778816452	-0.45434736636625594	-0.7545294517500635	0.23943100094595718	-0.22863831665843656	0.24022879311577428	0.23995144286024783	0.6749653110444744	0.3139474222116855	-0.540467898366303	-0.025048825297924283	0.5305015168824346	0.9566562867520604	1.0457054131849848	0.9192379768085064	-0.04379927341867305
-0.5128569376164086	-0.872670549765233	0.12369358839200789	-0.3588612999013559	-0.5674836384318637	0.25854435857819025	-0.2816010159208892	0.25417693321134277	0.3818732151197115	0.18657409968170344	0.4703256605159751	-0.3683297021824917	0.2686780746671243	0.31005965125570345	1.157307254861567	0.7941356115722754	0.5737449658606614	0.29748535901470496
-0.21244012753840394	1.165754882472644	-0.3526941130455685	-0.5368452847524079	-0.6208805456723766	0.3077402296363221	-0.28827323549608214	0.29134185185262884	0.35555733713536825	-0.002736714711496063	-0.03922296963706737	-0.0626988169044293	0.47956030246795217	-0.04212020439900823	1.0391835988265115	0.08855484893387648	-0.41209706969292104	0.1408279224507224
0.27024566897212055	2.1996669488625207	-0.11822421113328166	-0.4882332602250109	-0.25082282559051816	0.35706817981723127	-0.33099913494034117	0.3957807210249459	0.0903123864150066	0.30532979701898627	-0.5335318741725821	0.1269631941301892	0.7197225445357449	-0.5057007457888323	0.9181787165979347	-0.7293608493002431	-0.48570137627625765	0.16030061686555563
0.25403920419569753	2.2053833393416946	-0.6526977284591207	-0.4849354615574476	-0.23475641426108554	0.34176437128035647	-0.450924284698561	0.3448192623569262	0.09149364827370325	0.020773214035350946	-0.6569078744814392	0.22868587198693147	0.6118655142083905	-0.5279139797934267	0.1762085868744905	-1.3416986855035644	-0.5794065510072887	-0.2800664090107593
0.18616246140476253	1.221613825147751	-0.8166300367229096	-0.44096059925463094	-0.24264912160334678	0.20115000746881936	-0.4376276084689131	0.14836407477444646	0.15987924674230738	0.00486744514830832	-0.714274435398293	0.4477098009689819	0.14757068301560014	-0.15065901543287624	-0.6315382211441557	-1.3449336235365126	-0.2535764308882138	-0.19203472929114893
-0.38767434146146207	0.0741556623984785	-1.4988344068079895	-0.15999725682414462	-0.28641694671796913	0.15076076344236988	-0.4100993808770291	0.15596433461000203	-0.027886528401499383	-0.34071361925432175	-0.12102778346795769	0.19950711067930882	-0.06826494371452232	0.21915460543252988	-0.30158350710521575	-0.6342623281117508	-0.11614862038276803	-0.17160319611550306
