global_signal	white_matter	csf	trans_x	rot_x	trans_y	rot_y	trans_z	rot_z	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	t_comp_cor_00	t_comp_cor_01	aroma_motion_00	aroma_motion_01
-0.0006863501849434517	-0.38047330006020225	-0.13961638422552639	0.14423774877037368	-0.02649179276449991	0.1153042502282883	0.19171045337991743	-0.12717338759910043	0.027707528329787935	-0.16925953174243186	-0.20338441652284384	-0.07127404436590921	0.34820903944125303	-0.4790281391534592	-0.6023826107892083	-0.5634367448952299
-0.5618393783262541	-0.6921676059223106	-0.8959685367109451	0.328955799750664	-0.16164523029108605	0.01844955060372795	0.04040220348054688	-0.18528546109839958	0.016059197527161607	-0.6494400163922253	-0.6928899718731192	-0.7077818664064629	0.2185334442752216	-0.5734284594527971	-0.1178565562744437	-0.36612761002459016
-0.06960127481103362	-0.1531197819093139	-0.09819502660454116	0.1370182937965293	-0.24708082187295008	-0.04267441678184841	0.029768534117062817	0.14539203753915378	-0.08543065321964756	-1.0399629714199512	-0.49421876774922374	-0.708818437477255	0.42963873560444904	-0.5166024700543189	0.33592969943442685	0.011312550624155577
0.01316758749513637	0.3114977578985827	0.7605909578137098	0.2968958156657935	-0.07947683805333391	-0.2631394588054858	0.18738068800894264	0.1877045087230681	-0.09030802929212858	-1.0966659831433714	-0.1247346107097726	-0.8327382918123569	0.35364409474163644	0.14491913147150523	0.4479683815967552	0.34022403743488755
0.035979328445962244	-0.2604875977666823	1.1866610964911462	0.23495533031776655	-0.2931355754873285	-0.19781251865753466	0.14122272974170388	0.157710207662636	0.07238219525884332	-0.7520012845908062	0.31038398910398984	-0.3980051367646386	0.3693757279482267	0.5377992345067533	-0.09338945664588066	-0.056796910133604314
-0.983899689424858	-1.087072547774358	-0.24695307870789263	0.6903161377279741	0.005788501885850117	-0.16739553250921418	-0.12124017094000603	0.23814693170092777	-0.13641186931439475	0.36288393901122495	0.8614241824330435	-0.37141400338332053	0.3028662844474202	0.31447676226575644	-0.044208929562712114	-0.604274494592852
-1.4852241826939454	-2.8860091566448034	-0.6125583374543881	0.7162985285027763	0.06061430696721664	-0.234419582664937	-0.10741741034386122	0.06573110098747456	-0.08087726512673216	0.8598402070341779	0.9159083867564282	-0.12583913191883356	0.05451763778851546	-0.3142136932781409	0.07009647951630318	-0.7488200982186687
-1.2177621352212034	-2.3130477088682246	-0.4823696213568726	0.7293555609152451	-0.04981989687338575	-0.05477674533209262	-0.17122814633379824	0.1615803774185569	-0.10910005833216926	0.6430401081211741	0.43953733424212155	-0.2369362700179728	-0.2888369865428606	-0.9231309302538183	0.7060211362478321	-0.3170972277945905
-0.5657695767186883	-0.8840805811746534	-0.8768711819381516	0.716001210337841	-0.24675830775085733	0.14500330863493696	-0.17594058563685258	-0.08143118642560296	-0.31131413847576733	-0.025384874211915247	0.8719709672351514	0.3130372410134156	-0.2616842586905542	-1.1960917905086264	1.2953746015821732	-0.30334947706241
-0.5468272421130493	-1.888226480794659	-0.6993434790173184	0.710204718008948	-0.26488276656206233	0.14840385380843005	0.15508486342885744	-0.11891923832859726	-0.35417255593219765	-0.07448830873067443	0.40604435541650674	0.5109395965139166	-0.3145999507114775	-0.26149873724039085	1.187158076692514	-0.2616260919204691
